Gene Start (bp)	Gene End (bp)	Chromosome Name	Associated Gene Name
19626545	19644285	19	NDUFA13
140018325	140027370	5	NDUFA2
54606036	54612564	19	NDUFA3
54605982	54612511	HG1079_PATCH	NDUFA3
54606036	54612564	HSCHR19LRC_COX1_CTG1	NDUFA3
54606036	54612564	HSCHR19LRC_COX2_CTG1	NDUFA3
54606036	54612564	HSCHR19LRC_LRC_I_CTG1	NDUFA3
54606036	54612564	HSCHR19LRC_LRC_T_CTG1	NDUFA3
54606036	54612564	HSCHR19LRC_LRC_S_CTG1	NDUFA3
54606036	54612564	HSCHR19LRC_LRC_J_CTG1	NDUFA3
54606036	54612564	HSCHR19LRC_PGF1_CTG1	NDUFA3
54606036	54612564	HSCHR19LRC_PGF2_CTG1	NDUFA3
10971578	10979883	7	NDUFA4
42481529	42486959	22	NDUFA6
42481529	42486959	HSCHR22_2_CTG1	NDUFA6
42481529	42486959	HSCHR22_1_CTG1	NDUFA6
124894745	124922098	9	NDUFA8
4758261	4798454	12	NDUFA9
23592323	23607677	16	NDUFAB1
41679551	41694717	15	NDUFAF1
60240956	60448853	5	NDUFAF2
49057892	49060928	3	NDUFAF3
13765596	13799067	20	NDUFAF5
95907995	96128683	8	NDUFAF6
92582466	92588261	14	NDUFB1
2009509	2011976	16	NDUFB10
47001615	47004903	X	NDUFB11
47001651	47004939	HG29_PATCH	NDUFB11
140390577	140422590	7	NDUFB2
201936156	201950473	2	NDUFB3
120315156	120321347	3	NDUFB4
179322478	179345435	3	NDUFB5
32552997	32573160	9	NDUFB6
102267203	102289757	10	NDUFB8
125551344	125580751	8	NDUFB9
140188034	140223705	4	NDUFC1
77779350	77791265	11	NDUFC2
206979541	207024327	2	NDUFS1
161166894	161184185	1	NDUFS2
47586888	47606114	11	NDUFS3
52856463	52979168	5	NDUFS4
1801514	1816719	5	NDUFS6
1383526	1395583	19	NDUFS7
67798084	67804111	11	NDUFS8
67374323	67380006	11	NDUFV1
9102628	9134343	18	NDUFV2
44299754	44333414	21	NDUFV3
8234807	8250367	12	NECAP1
56119120	56285944	15	NEDD4
24686058	24701660	14	NEDD8
11183531	11382581	6	NEDD9
29876219	29887379	22	NEFH
71861623	72748417	1	NEGR1
11627148	11644855	8	NEIL2
170314426	170533780	4	NEK1
27151576	27410951	3	NEK10
211836114	211848960	1	NEK2
198126093	198291550	1	NEK7
27052915	27070473	17	NEK8
75548822	75594047	14	NEK9
1984441	2043630	4	NELFA
140149625	140167998	9	NELFB
57556263	57570188	20	NELFCD
31910261	31917261	HSCHR6_MHC_QBL	NELFE
31911716	31918721	HSCHR6_MHC_SSTO	NELFE
31907416	31914421	HSCHR6_MHC_COX	NELFE
31919864	31926887	6	NELFE
31902055	31909055	HSCHR6_MHC_DBB	NELFE
31996311	32003316	HSCHR6_MHC_MCF	NELFE
50249997	50319921	14	NEMF
212606229	212619714	1	NENF
73344051	73597547	15	NEO1
156638555	156647189	1	NES
74699179	74729938	11	NEU3
172068269	172118543	5	NEURL1B
97163383	97173846	2	NEURL3
7218947	7232712	17	NEURL4
78354198	78409580	1	NEXN
5001	60381	LRG_442	LRG_442
29421945	29709134	17	NF1
4951	287701	LRG_214	LRG_214
29999545	30094587	22	NF2
5001	100045	LRG_511	LRG_511
69598997	69738569	16	NFAT5
50003494	50179370	20	NFATC2
68118654	68263162	16	NFATC3
46125691	46138849	17	NFE2L1
61330931	61928465	1	NFIA
14081842	14398982	9	NFIB
3359561	3469215	19	NFIC
94171327	94186144	9	NFIL3
104153867	104162281	10	NFKB2
35870717	35873955	14	NFKBIA
4985	8229	LRG_89	LRG_89
36378555	36393205	19	NFKBID
31502098	31514044	HSCHR6_MHC_COX	NFKBIL1
31496824	31508774	HSCHR6_MHC_DBB	NFKBIL1
31504921	31516872	HSCHR6_MHC_QBL	NFKBIL1
31554142	31566099	HSCHR6_MHC_MANN	NFKBIL1
31504594	31516550	HSCHR6_MHC_SSTO	NFKBIL1
31590993	31602942	HSCHR6_MHC_MCF	NFKBIL1
31514647	31526606	6	NFKBIL1
101546835	101579866	3	NFKBIZ
129733531	129765485	11	NFRKB
69622882	69664760	2	NFU1
33290509	33371155	9	NFX1
41157320	41237275	1	NFYC
23938897	23979071	14	NGDN
233743396	233877982	2	NGEF
102631268	102633005	X	NGFRAP1
25760435	25831530	3	NGLY1
90808891	90816463	15	NGRN
115614420	115676953	10	NHLRC2
39612443	39624246	13	NHLRC3
177576461	177580968	5	NHP2
5001	9498	LRG_346	LRG_346
42069934	42086508	22	NHP2L1
52471521	52535712	14	NID2
201754050	201768655	2	NIF3L1
122484521	122494499	2	NIFK
673462	772945	12	NINJ2
69373333	69377014	16	NIP7
23043277	23100005	15	NIPA1
23004684	23034427	15	NIPA2
36876861	37066515	5	NIPBL
107526438	107539738	9	NIPSNAP3B
100053545	100075710	3	NIT2
28227098	28228736	6	NKAPL
51874860	51875969	19	NKG7
23933151	23988082	3	NKIRAS1
40173272	40181893	HG185_PATCH	NKIRAS2
40163400	40177659	17	NKIRAS2
33455772	33469334	17	NLE1
5758678	6146904	X	NLGN4X
26368763	26523407	17	NLK
32449522	32490923	2	NLRC4
57023397	57117443	16	NLRC5
55464498	55512510	19	NLRP2
55456385	55504397	HG1079_PATCH	NLRP2
55127218	55175230	HSCHR19LRC_COX2_CTG1	NLRP2
55385415	55433427	HSCHR19LRC_COX1_CTG1	NLRP2
55462002	55510014	HSCHR19LRC_LRC_I_CTG1	NLRP2
55464088	55512100	HSCHR19LRC_LRC_S_CTG1	NLRP2
55489539	55537551	HSCHR19LRC_LRC_J_CTG1	NLRP2
55400381	55448393	HSCHR19LRC_LRC_T_CTG1	NLRP2
55194177	55242189	HSCHR19LRC_PGF2_CTG1	NLRP2
247579458	247612410	1	NLRP3
6877	37936	LRG_197	LRG_197
278365	285359	11	NLRP6
55434877	55477680	19	NLRP7
55426764	55469567	HG1079_PATCH	NLRP7
55097598	55140400	HSCHR19LRC_COX2_CTG1	NLRP7
55355794	55398597	HSCHR19LRC_COX1_CTG1	NLRP7
55432381	55475184	HSCHR19LRC_LRC_I_CTG1	NLRP7
55434467	55477270	HSCHR19LRC_LRC_S_CTG1	NLRP7
55459918	55502721	HSCHR19LRC_LRC_J_CTG1	NLRP7
55370760	55413563	HSCHR19LRC_LRC_T_CTG1	NLRP7
55164556	55207359	HSCHR19LRC_PGF2_CTG1	NLRP7
119037277	119054725	11	NLRX1
85198360	85201794	15	NMB
160822484	160971320	3	NMD3
49230897	49239789	17	NME1
49230920	49249108	17	NME1-NME2
49230951	49249105	17	NME2
446725	460367	16	NME4
152126979	152146571	2	NMI
10003486	10045559	1	NMNAT1
4511681	4545764	16	NMRAL1
77675489	77703133	9	NMRK1
43128978	43186384	17	NMT1
232387871	232395206	2	NMUR1
114128509	114184007	11	NNMT
43602794	43707507	5	NNT
57829536	57844989	4	NOA1
69775770	69788843	16	NOB1
879584	894689	1	NOC2L
96075004	96122716	10	NOC3L
132628993	132637013	12	NOC4L
30464143	30518400	7	NOD1
50727514	50766988	16	NOD2
5001	40938	LRG_177	LRG_177
10710892	10830101	2	NOL10
65713949	65740647	17	NOL11
33461439	33473928	9	NOL6
13615559	13632971	6	NOL7
95059640	95087918	9	NOL8
103911933	103923627	10	NOLC1
156742417	156765876	7	NOM1
14927538	14990017	16	NOMO1
18511182	18573533	16	NOMO2
16326352	16388668	16	NOMO3
34633917	34635378	15	NOP10
5001	6446	LRG_345	LRG_345
2939660	2965112	4	NOP14
2936626	2963465	4	NOP14-AS1
6666029	6677857	12	NOP2
2632791	2639039	20	NOP56
203130439	203168389	2	NOP58
24769068	24778330	14	NOP9
162039564	162353321	1	NOS1AP
150688083	150711676	7	NOS3
50058968	50093519	19	NOSIP
120454176	120612240	1	NOTCH2
145209119	145291972	1	NOTCH2NL
120428546	120436593	8	NOV
26912299	27066960	14	NOVA1
46436992	46476804	19	NOVA2
89057524	89322779	11	NOX4
69222864	69355083	15	NOX5
108027942	108093369	11	NPAT
21086148	21166862	18	NPC1
74942895	74960880	14	NPC2
139933922	139940655	9	NPDC1
45600308	45700642	17	NPEPPS
15016659	15045915	16	NPIPA1
21845890	21892148	16	NPIPB4
22490442	22547842	16	NPIPB5
182758428	182799519	1	NPL
79523913	79615495	17	NPLOC4
170814120	170838141	5	NPM1
5001	28181	LRG_458	LRG_458
153651113	153666468	1	NPR1
35792151	35809729	9	NPR2
50384761	50388522	3	NPRL2
134273	188859	16	NPRL3
164265091	164273086	4	NPY5R
69740899	69760854	16	NQO1
38249040	38256978	17	NR1D1
23986751	24022109	3	NR1D2
50832910	50886239	19	NR1H2
161199456	161208092	1	NR1I3
14989091	15095107	3	NR2C2
19312225	19314233	19	NR2C2AP
92919043	92930321	5	NR2F1
92745065	92921354	5	NR2F1-AS1
96869167	96883492	15	NR2F2
142657496	142815077	5	NR3C1
52416616	52453291	12	NR4A1
157180944	157198860	2	NR4A2
140194083	140196703	9	NRARP
115247090	115259515	1	NRAS
5001	17438	LRG_92	LRG_92
64893050	64914783	10	NRBF2
52254863	52344477	1	NRD1
90742580	90798481	14	NRDE2
129251555	129396922	7	NRF1
139226364	139422884	5	NRG2
30664073	30667446	HSCHR6_MHC_APD	NRM
30645360	30648733	HSCHR6_MHC_QBL	NRM
30646089	30649462	HSCHR6_MHC_DBB	NRM
30700523	30703896	HSCHR6_MHC_MANN	NRM
30734312	30737685	HSCHR6_MHC_MCF	NRM
30655824	30659197	6	NRM
30645693	30649066	HSCHR6_MHC_COX	NRM
33466420	33625190	10	NRP1
196366557	196388875	3	NRROS
24126350	24155128	6	NRSN1
327426	340304	20	NRSN2
5823813	5828335	19	NRTN
78708734	80330762	14	NRXN3
176560026	176727216	5	NSD1
5754	172135	LRG_512	LRG_512
151999511	152038273	X	NSDHL
151999439	152038201	HG1497_PATCH	NSDHL
44668035	44834830	17	NSF
1422807	1454487	20	NSFL1C
212899495	212965124	1	NSL1
59496063	59572403	8	NSMAF
126103921	126379362	8	NSMCE2
123716603	123734732	10	NSMCE4A
28442539	28513493	17	NSRP1
6599352	6633404	5	NSUN2
75039605	75046066	7	NSUN5P1
74875279	74881744	HG1257_PATCH	NSUN5P1
72418120	72425329	7	NSUN5P2
72412538	72419747	HG1257_PATCH	NSUN5P2
18834490	18940551	10	NSUN6
73126320	73127890	17	NT5C
18737050	18770838	2	NT5C1B
116422012	116570660	6	NT5DC1
86159809	86205500	6	NT5E
5541278	5630702	12	NTF3
49559050	49568333	19	NTF4
2089816	2097867	16	NTHL1
131240373	132206716	11	NTM
132371163	132398209	9	NTMT1
87283466	87638505	9	NTRK2
151038785	151075535	7	NUB1
1832902	1839192	16	NUBP2
31959162	32330430	14	NUBPL
205681947	205719404	1	NUCKS1
27226729	27273353	1	NUDC
110253148	110346614	8	NUDCD1
44418720	44530479	7	NUDCD3
2281857	2290781	7	NUDT1
51075083	51080377	X	NUDT10
51075231	51080525	HG1433_PATCH	NUDT10
51232863	51239448	X	NUDT11
51233011	51239596	HG1433_PATCH	NUDT11
48611703	48621358	13	NUDT15
33182867	33204702	19	NUDT19
56463045	56486111	16	NUDT21
63993413	63998158	11	NUDT22
34247456	34360451	6	NUDT3
93771659	93797024	12	NUDT4
12207324	12238143	10	NUDT5
123809852	123844123	4	NUDT6
163236366	163325554	1	NUF2
45513384	45563618	13	NUFIP1
27582854	27621136	17	NUFIP2
27879481	27941388	8	NUGGC
71713910	71791739	11	NUMA1
73741815	73930348	14	NUMB
69080514	69136785	12	NUP107
229577045	229644103	1	NUP133
17615269	17706656	6	NUP153
37288239	37371283	5	NUP155
47799639	47870107	11	NUP160
131709978	131769375	9	NUP188
135242667	135333505	7	NUP205
134000948	134110057	9	NUP214
102467967	102513902	12	NUP37
150045451	150070801	6	NUP43
45559722	45583896	22	NUP50
77035812	77069668	4	NUP54
50410082	50433020	19	NUP62
73201754	73231853	17	NUP85
5264258	5323480	17	NUP88
56764017	56878797	16	NUP93
3692313	3819022	11	NUP98
25875662	25923938	13	NUPL1
23221446	23240630	7	NUPL2
28548606	28550495	16	NUPR1
117996665	118031803	6	NUS1
41624892	41673248	15	NUSAP1
67880635	67906470	16	NUTF2
224415036	224518089	1	NVL
91150016	91199189	9	NXNL2
101498046	101547073	3	NXPE3
57610578	57620232	12	NXPH4
23331373	23335414	20	NXT1
108779010	108787919	X	NXT2
120081475	120101041	11	OAF
41001366	41065526	6	OARD1
113344582	113369990	12	OAS1
113376157	113411054	12	OAS3
121458095	121477045	12	OASL
126085872	126107545	10	OAT
105642300	105677963	10	OBFC1
138437985	138441815	9	OBP2A
136080664	136084628	HG79_PATCH	OBP2B
136080664	136084630	9	OBP2B
228395831	228566577	1	OBSCN
220415451	220436581	2	OBSL1
128673826	128726538	X	OCRL
131217465	131263571	9	ODF2
76016318	76020029	15	ODF3L1
13752832	13787480	X	OFD1
44646171	44748665	7	OGDH
56485402	56513012	16	OGFOD1
123459127	123464590	12	OGFOD2
80347099	80376513	17	OGFOD3
61436187	61445352	20	OGFR
9791628	9829903	3	OGG1
95146249	95166978	9	OGN
70752933	70795747	X	OGT
41601466	41624819	15	OIP5
174937175	175113426	2	OLA1
7506619	7532608	11	OLFML1
161952982	161993644	1	OLFML2B
114522063	114524876	1	OLFML3
95176527	95186743	9	OMD
67262186	67653755	X	OPHN1
145106167	145118735	8	OPLAH
145133436	145146004	HG104_HG975_PATCH	OPLAH
241753404	241840678	1	OPN3
132021520	132022635	6	OR2A4
143955700	143956815	7	OR2A7
248031277	248060449	1	OR2W3
30960387	30967782	16	ORAI3
69467844	69490184	11	ORAOV1
201773696	201828403	2	ORC2
88299839	88377169	6	ORC3
148687968	148779147	2	ORC4
103766788	103848495	7	ORC5
38077294	38083854	17	ORMDL3
59341871	59383617	11	OSBP
31699382	32119072	3	OSBPL10
125247702	125313934	3	OSBPL11
21742008	21977844	18	OSBPL1A
60813580	60871268	20	OSBPL2
52042851	52254889	1	OSBPL9
36881428	36916086	1	OSCP1
20914570	20923264	14	OSGEP
90914087	90940116	8	OSGIN2
30658818	30662829	22	OSM
19551246	19558414	2	OSR1
99956631	99964332	8	OSR2
27293340	27294641	2	OST4
77703459	77762181	9	OSTF1
108362613	108487058	6	OSTM1
63753325	63769283	11	OTUB1
23728198	23731308	10	OTUD1
146031990	146101313	4	OTUD4
149909705	149982625	1	OTUD7B
1945327	1946724	17	OVCA2
17937623	18039832	20	OVOL2
23235731	23241007	14	OXA1L
79632066	79633665	17	OXLD1
16306706	16391806	3	OXNAD1
25824408	25836025	3	OXSM
38206580	38296979	3	OXSR1
8792094	8811314	3	OXTR
3575493	3599698	17	P2RX5
152552736	152555841	3	P2RY1
10222214	10226048	19	P2RY11
151055168	151102600	3	P2RY12
74766975	74856732	10	P4HA1
49027319	49044587	3	P4HTM
56498103	56507691	12	PA2G4
73587744	73638790	11	PAAF1
101698044	101735037	8	PABPC1
25670300	25673389	13	PABPC3
40026488	40042462	1	PABPC4
23790498	23795394	14	PABPN1
65837834	66012218	11	PACS1
105766900	105864484	14	PACS2
105766900	105864484	HG1592_PATCH	PACS2
39876492	39881835	19	PAF1
2496504	2588909	17	PAFAH1B1
117014983	117047610	11	PAFAH1B2
42801185	42807698	19	PAFAH1B3
57301907	57327534	4	PAICS
43526369	43557860	5	PAIP1
138677276	138705406	5	PAIP2
71409869	71454213	2	PAIP2B
77032752	77185680	11	PAK1
10694928	10710015	6	PAK1IP1
196466728	196559518	3	PAK2
9518036	9819689	20	PAK7
23614488	23652631	16	PALB2
5001	43196	LRG_308	LRG_308
72238577	72328205	10	PALD1
169418217	169849608	4	PALLD
112542589	112934792	9	PALM2-AKAP2
102089685	102366809	5	PAM
35453370	35551848	11	PAMR1
28712643	28869475	13	PAN3
3869486	3907605	20	PANK2
167975500	168006605	5	PANK3
2439972	2458039	1	PANK4
93862094	93915138	11	PANX1
50186829	50269221	16	PAPD5
6714718	6757161	5	PAPD7
73704205	73741348	14	PAPLN
96967770	97033448	14	PAPOLA
60983365	61029220	2	PAPOLG
79808281	79860592	4	PAQR3
3019246	3023490	16	PAQR4
34398488	35104253	10	PARD3
77915115	78005429	18	PARD6G
51026325	51130715	10	PARG
51026325	51130715	HG1074_PATCH	PARG
8014351	8045565	1	PARK7
183547173	183602721	3	PARL
226548392	226595780	1	PARP1
139723544	139763521	7	PARP12
122399465	122449687	3	PARP14
65526798	65592956	15	PARP16
20811741	20826064	14	PARP2
122246771	122283424	3	PARP9
55222571	55230187	1	PARS2
12398732	12552348	11	PARVA
44395091	44568829	22	PARVB
242045514	242089679	2	PASK
59404189	59436453	11	PATL1
31721790	31742218	22	PATZ1
113973574	114036527	2	PAX8
113969099	114034158	2	PAX8-AS1
34106210	34144169	21	PAXBP1
34106210	34144169	HSCHR21_3_CTG1_1	PAXBP1
154735397	154794794	7	PAXIP1
154795158	154797413	7	PAXIP1-AS1
75392771	75398039	X	PBDC1
75392771	75398039	HG1425_PATCH	PBDC1
27667137	27695612	8	PBK
32110133	32115584	HSCHR6_MHC_QBL	PBX2
32159380	32164831	HSCHR6_MHC_SSTO	PBX2
32163854	32169304	HSCHR6_MHC_APD	PBX2
32100987	32106437	HSCHR6_MHC_COX	PBX2
32191945	32197387	HSCHR6_MHC_MANN	PBX2
32191945	32197387	HSCHR6_MHC_MANN	PBX2
32191945	32197387	HSCHR6_MHC_MANN	PBX2
32152512	32157963	6	PBX2
32228948	32234390	HSCHR6_MHC_MCF	PBX2
154916552	154928599	1	PBXIP1
72642037	72648541	10	PCBD1
134240596	134343649	5	PCBD2
53835525	53874946	12	PCBP2
100741269	101182686	13	PCCA
135969148	136056738	3	PCCB
141232938	141258811	5	PCDH1
91034260	91878229	X	PCDH11X
4868267	5610265	Y	PCDH11Y
141323150	141349304	5	PCDH12
58205944	58303445	13	PCDH17
138440072	138453648	4	PCDH18
140165876	140391929	5	PCDHA1
140165876	140391929	HG1082_HG167_PATCH	PCDHA1
140235595	140391929	5	PCDHA10
140235595	140391929	HG1082_HG167_PATCH	PCDHA10
140248689	140391929	5	PCDHA11
140248689	140391929	HG1082_HG167_PATCH	PCDHA11
140255058	140391929	5	PCDHA12
140255058	140391929	HG1082_HG167_PATCH	PCDHA12
140261793	140391929	5	PCDHA13
140261793	140391929	HG1082_HG167_PATCH	PCDHA13
140174444	140391929	5	PCDHA2
140174444	140391929	HG1082_HG167_PATCH	PCDHA2
140180783	140391929	5	PCDHA3
140180783	140391929	HG1082_HG167_PATCH	PCDHA3
140186659	140391929	5	PCDHA4
140186659	140391929	HG1082_HG167_PATCH	PCDHA4
140201222	140391929	5	PCDHA5
140201222	140391929	HG1082_HG167_PATCH	PCDHA5
140207563	140391929	5	PCDHA6
140207563	140391929	HG1082_HG167_PATCH	PCDHA6
140213969	140391929	5	PCDHA7
140213969	140391929	HG1082_HG167_PATCH	PCDHA7
140220907	140391929	5	PCDHA8
140220907	140391929	HG1082_HG167_PATCH	PCDHA8
140306302	140391929	5	PCDHAC1
140306302	140391929	HG1082_HG167_PATCH	PCDHAC1
140345820	140391936	5	PCDHAC2
140345820	140391936	HG1082_HG167_PATCH	PCDHAC2
140571942	140575215	5	PCDHB10
140571954	140575227	HG1082_HG167_PATCH	PCDHB10
140579183	140582618	5	PCDHB11
140579195	140582630	HG1082_HG167_PATCH	PCDHB11
140588269	140591696	5	PCDHB12
140588282	140591709	HG1082_HG167_PATCH	PCDHB12
140593509	140596993	5	PCDHB13
140593522	140597006	HG1082_HG167_PATCH	PCDHB13
140602931	140605858	5	PCDHB14
140602944	140605871	HG1082_HG167_PATCH	PCDHB14
140560980	140565793	5	PCDHB16
140557371	140560081	5	PCDHB8
140557375	140560085	HG1082_HG167_PATCH	PCDHB8
140566893	140571111	5	PCDHB9
140566904	140571123	HG1082_HG167_PATCH	PCDHB9
140710252	140892546	5	PCDHGA1
140792743	140892546	5	PCDHGA10
140800762	140891835	5	PCDHGA11
140810185	140892546	5	PCDHGA12
140718539	140892546	5	PCDHGA2
140723601	140892546	5	PCDHGA3
140734768	140892546	5	PCDHGA4
140743898	140892546	5	PCDHGA5
140753651	140892546	5	PCDHGA6
140762467	140892546	5	PCDHGA7
140772381	140892546	5	PCDHGA8
140782520	140892546	5	PCDHGA9
140729828	140892546	5	PCDHGB1
140739703	140892546	5	PCDHGB2
140749831	140892546	5	PCDHGB3
140767452	140892546	5	PCDHGB4
140787770	140892546	5	PCDHGB6
140797427	140892546	5	PCDHGB7
140855580	140892542	5	PCDHGC3
140864741	140892546	5	PCDHGC4
140868808	140892546	5	PCDHGC5
2815960	2821836	20	PCED1A
47473386	47630443	12	PCED1B
82868030	82898493	11	PCF11
36890150	36906070	17	PCGF2
699537	764428	4	PCGF3
92979908	93044088	10	PCGF5
113831891	113863029	13	PCID2
24563262	24579807	14	PCK2
82383329	82792246	7	PCLO
17780349	17885478	8	PCM1
150070579	150132556	6	PCMT1
52730140	52811735	8	PCMTD1
5095599	5107272	20	PCNA
101292939	101313281	3	PCNP
47744036	47865682	21	PCNT
65383244	65404910	11	PCNXL3
60558629	60635851	14	PCNXL4
100199800	100205798	7	PCOLCE
117075053	117103241	11	PCSK7
195941093	196014828	3	PCYT1A
79858841	79869340	17	PCYT2
98989671	99006452	7	PDAP1
167401086	167452727	3	PDCD10
105156405	105206049	10	PDCD11
5510545	5571282	9	PDCD1LG2
170884383	170893780	6	PDCD2
34895289	34917073	19	PDCD2L
112631565	112659764	10	PDCD4
271736	353971	5	PDCD6
33839844	33911194	3	PDCD6IP
65409717	65426174	15	PDCD7
125560668	125590910	9	PDCL
767220	777488	11	PDDC1
57542003	57552571	3	PDE12
54943134	54973023	12	PDE1B
14665269	14892350	HG873_PATCH	PDE3B
14665269	14892350	11	PDE3B
10527449	10580305	19	PDE4A
144836157	145076186	1	PDE4DIP
136172834	136516712	6	PDE7B
69362524	69364498	16	PDF
536895	559933	7	PDGFA
39619364	39640756	22	PDGFB
55095264	55164414	4	PDGFRA
149493400	149535435	5	PDGFRB
17433942	17501580	8	PDGFRL
19362011	19379823	X	PDHA1
58413357	58419584	3	PDHB
34937376	35042138	11	PDHX
122785909	122944074	3	PDIA5
10923517	10978103	2	PDIA6
26437664	26452034	1	PDIK1L
173420101	173489823	2	PDK1
48172101	48189516	17	PDK2
24483338	24557954	X	PDK3
96997329	97050781	10	PDLIM1
22435792	22455538	8	PDLIM2
176910395	176924607	5	PDLIM7
66912492	66929657	16	PDP2
2587965	2653189	16	PDPK1
30532758	30539895	20	PDRG1
39824483	39979576	4	PDS5A
33160564	33352157	13	PDS5B
26986588	27035727	10	PDSS1
107473761	107780768	6	PDSS2
107600432	107907439	HG357_PATCH	PDSS2
70010200	70099851	16	PDXDC2P
45138975	45182188	21	PDXK
38054734	38062941	22	PDXP
69506445	69510364	X	PDZD11
31639517	32111037	5	PDZD2
102767440	102790890	10	PDZD7
47649265	47656716	1	PDZK1IP1
41582250	41968392	12	PDZRN4
77400471	77712486	15	PEAK1
62399863	62491136	HG183_PATCH	PECAM1
216861052	216947678	2	PECR
32095463	32110497	1	PEF1
94285637	94299007	7	PEG10
57321445	57352096	19	PEG3
64319786	64371588	2	PELI1
56584532	56768244	14	PELI2
66234216	66244808	11	PELI3
4574679	4607632	17	PELP1
17408877	17495022	17	PEMT
8043790	8059824	17	PER1
239152679	239198743	2	PER2
7844380	7905237	1	PER3
138409642	138428648	6	PERP
30972612	31003070	22	PES1
2336236	2345236	1	PEX10
145516252	145523730	1	PEX11B
146597765	146605252	HG1287_PATCH	PEX11B
33901814	33905882	17	PEX12
61244360	61279125	2	PEX13
45931220	45940363	11	PEX16
160246602	160256138	1	PEX19
18560689	18613905	22	PEX26
143771944	143811147	6	PEX3
7341281	7371170	12	PEX5
8150936	8173809	17	PFAS
161070346	161087901	1	PFDN2
53689075	53693234	12	PFDN5
33185925	33195021	HSCHR6_MHC_QBL	PFDN6
33427426	33436525	HSCHR6_MHC_MCF	PFDN6
33257079	33266178	6	PFDN6
33178689	33187788	HSCHR6_MHC_COX	PFDN6
33235008	33244107	HSCHR6_MHC_DBB	PFDN6
207222801	207254369	1	PFKFB2
48555117	48599448	3	PFKFB4
45719934	45747259	21	PFKL
48498922	48540187	12	PFKM
3108525	3179904	10	PFKP
4848947	4852356	17	PFN1
99185917	99193198	10	PGAM1
44102326	44105186	7	PGAM2
77223458	77225135	X	PGAM4
77228915	77230592	HG1426_PATCH	PGAM4
133287405	133299228	12	PGAM5
3818954	3847601	11	PGAP2
37827375	37853050	17	PGAP3
50723151	50747086	10	PGBD3
34394274	34396591	15	PGBD4
10458649	10480201	1	PGD
75408537	75422487	14	PGF
114546527	114598569	5	PGGT1B
17622438	17632097	19	PGLS
64058947	64125916	1	PGM1
37828255	37864558	4	PGM2
83870869	83903655	6	PGM3
69080240	69147854	9	PGM5P2
76374721	76421195	17	PGS1
143857982	144152322	6	PHACTR2
47481414	47492246	17	PHB
7074490	7079988	12	PHB2
7074490	7079988	HG344_PATCH	PHB2
9066492	9094063	12	PHC1
169804520	169899537	3	PHC3
33306984	33307829	HSCHR6_MHC_QBL	PHF1
33378176	33384230	6	PHF1
33517537	33523618	HSCHR6_MHC_SSTO	PHF1
170104001	170124151	6	PHF10
50069746	50103123	13	PHF11
27232268	27278789	17	PHF12
11013499	11209250	7	PHF14
123617977	123639606	9	PHF19
96338689	96441869	9	PHF2
34359896	34538303	20	PHF20
45950871	46142985	11	PHF21A
7138347	7143041	17	PHF23
64345725	64489229	6	PHF3
41855721	41864729	22	PHF5A
53963109	54075391	X	PHF8
53679676	53791958	HG1433_PATCH	PHF8
79645584	79787953	6	PHIP
71798664	71934167	X	PHKA1
71798664	71934169	HG1438_PATCH	PHKA1
18910418	19002716	X	PHKA2
47495034	47735434	16	PHKB
76419227	76427712	12	PHLDA1
118477155	118528741	11	PHLDB1
170550975	170558218	2	PHOSPHO2
139743176	139745488	9	PHPT1
576486	612222	11	PHRF1
77428122	77586818	7	PHTF2
13319796	13344412	10	PHYH
131683174	131704320	9	PHYHD1
60936350	61007534	10	PHYHIPL
36922209	36932613	6	PI16
43803517	43805185	20	PI3
99344131	99436191	10	PI4K2A
21061979	21213705	22	PI4KA
20383524	20427835	22	PI4KAP1
151264273	151300191	1	PI4KB
44388353	44500123	18	PIAS2
73356197	73590591	13	PIBF1
85668727	85780924	11	PICALM
229715242	230136001	2	PID1
88781751	88851619	16	PIEZO1
15337573	15353676	X	PIGA
4985	21088	LRG_160	LRG_160
46808076	46844258	2	PIGF
492989	533985	4	PIGG
499200	540196	HG174_HG254_PATCH	PIGG
68048672	68067004	14	PIGH
59710800	59854351	18	PIGN
35088685	35096591	9	PIGO
26880401	26898890	17	PIGS
44044717	44054884	20	PIGT
33148346	33264910	20	PIGU
27113963	27124889	1	PIGV
34890847	34895159	17	PIGW
34862388	34866669	HG75_PATCH	PIGW
196366646	196462878	3	PIGX
111934734	111944998	11	PIH1D2
111934733	111944997	HG388_HG400_PATCH	PIH1D2
17099277	17229530	11	PIK3C2A
39535171	39667794	18	PIK3C3
178865902	178957881	3	PIK3CA
9711790	9789172	1	PIK3CD
5001	82383	LRG_191	LRG_191
67511548	67597649	5	PIK3R1
18263928	18281350	19	PIK3R2
130397779	130465673	3	PIK3R4
37137979	37143202	6	PIM1
48770459	48776301	X	PIM2
48772581	48778423	HG1436_HG1432_PATCH	PIM2
50354161	50357728	22	PIM3
9945933	9960358	19	PIN1
71401203	71522776	X	PIN4
10622473	10697394	8	PINX1
36921942	36956379	17	PIP4K2B
151170425	151222012	1	PIP5K1A
3630181	3700477	19	PIP5K1C
32014477	32058418	22	PISD
24104895	24114722	1	PITHD1
1421012	1466110	17	PITPNA
28247657	28316122	22	PITPNB
123468027	123634562	12	PITPNM2
3179920	3215003	10	PITRM1
