Gene Start (bp)	Gene End (bp)	Chromosome Name	HGNC symbol
150293720	150308979	1	MRPS21
139005806	139357223	3	MRPS22
57834781	57850056	17	MRPS23
43866558	43869893	7	MRPS24
15042460	15065335	3	MRPS25
3045945	3048254	20	MRPS26
72219409	72320646	5	MRPS27
40729135	40771173	13	MRPS31
141002610	141015228	7	MRPS33
1771890	1773155	16	MRPS34
27710773	27756295	12	MRPS35
69217760	69230129	5	MRPS36
95087207	95149434	2	MRPS5
34073224	34143034	21	MRPS6
75261674	75266373	17	MRPS7
105037983	105099960	2	MRPS9
122264603	122331343	9	MRRF
24402908	24426194	6	MRS2
19251539	19260128	1	MRTO4
10573091	10693988	11	MRVI1
60378530	60417756	11	MS4A14
60088261	60098466	11	MS4A2
60172014	60184666	11	MS4A6A
60378482	60395951	11	MS4A7
124766498	124800673	11	MSANTD2
100427156	100451711	9	MSANTD3
105995623	106022403	11	MSANTD4
71841549	71844468	8	MSC
31739948	31762834	6	MSH5
57255851	57684685	17	MSI2
40122298	40136916	17	MSL1
136148922	136197241	3	MSL2
35752990	35756613	9	MSMP
65588377	65741931	X	MSN
1938210	1943326	16	MSRB1
65278643	65488244	12	MSRB3
73423579	73433561	10	MSS51
49887002	49903873	3	MST1R
155610205	155614967	1	MSTO1
56638666	56750276	16	MT1A
56625475	56627112	16	MT1E
56657694	56660698	16	MT1F
56632233	56633986	16	MT1M
56682424	56684196	16	MT1X
56608199	56609497	16	MT2A
105419820	105470729	14	MTA1
62593214	62601840	11	MTA2
21802543	21937651	9	MTAP
120445400	120542133	8	MTBP
47617315	47642623	11	MTCH2
106977291	106987166	12	MTERF2
96239398	96261610	8	MTERF3
93079235	93139081	1	MTF2
65001512	65029639	15	MTFMT
30425530	30429053	22	MTFP1
65644734	65771261	8	MTFR1
133394094	133421307	10	MTG1
62183029	62203568	20	MTG2
64388031	64463457	14	MTHFD1
74198562	74217565	2	MTHFD2
11785723	11806920	1	MTHFR
55236595	55269347	2	MTIF2
27435643	27450591	13	MTIF3
68707440	68751564	11	MTL5
150568619	150673322	X	MTM1
150692971	150765103	X	MTMR1
30938941	30991607	15	MTMR10
32226994	32313009	5	MTMR12
9649433	9702394	3	MTMR14
95832882	95925315	11	MTMR2
29883155	30030866	22	MTMR3
58489529	58517905	17	MTMR4
25246201	25288009	13	MTMR6
17298030	17413528	8	MTMR7
11284416	11328146	8	MTMR9
73461578	73509236	6	MTO1
11106535	11262507	1	MTOR
30309801	30374448	10	MTPAP
236795281	236903981	1	MTR
152987362	153002685	6	MTRF1L
7851186	7906025	5	MTRR
30134810	30162762	7	MTURN
17643795	17800917	8	MTUS1
26559033	26572233	11	MUC15
20499448	20508161	1	MUL1
65857126	65867653	11	MUS81
17405722	17433724	19	MVB12A
88651935	88663161	16	MVD
109573255	109598117	12	MVK
41420304	41459214	21	MX1
3308565	3346641	X	MXRA5
1352689	1361777	1	MXRA8
53866223	53876437	19	MYADM
135181315	135219173	6	MYB
4538897	4555631	17	MYBBP1A
77044655	77327050	13	MYCBP2
15940564	15947007	2	MYCN
152697895	152724567	6	MYCT1
38138478	38143022	3	MYD88
4641374	4670370	19	MYDGF
48134631	48178517	15	MYEF2
15703135	15857033	16	MYH11
50188186	50310545	19	MYH14
3247481	3256236	18	MYL12A
3261909	3278284	18	MYL12B
56152256	56159647	12	MYL6B
36541484	36551447	20	MYL9
123610049	123884331	3	MYLK
169772831	169789716	3	MYNN
29073517	29180412	17	MYO18A
36495633	36543435	17	MYO19
191245185	191425389	2	MYO1B
1464098	1492812	17	MYO1C
52192322	52295798	15	MYO5C
75749192	75919537	6	MYO6
127535802	127637729	2	MYO7B
71822289	72118577	15	MYO9A
93306429	93482317	10	MYOF
45890020	45902604	19	MYPOP
61752642	61788518	11	MYRF
139387480	139390081	5	MZB1
58561931	58573575	19	MZF1
72708357	72727687	13	MZT1
131464900	131492743	2	MZT2A
130181737	130190729	2	MZT2B
48538726	48620148	16	N4BP1
32432417	32538885	13	N4BP2L2
178113443	178126087	5	N4BP3
20728731	20773958	13	N6AMT2
153929242	153935223	X	NAA10
139301455	139420033	4	NAA15
20017116	20033655	20	NAA20
112026689	112109022	12	NAA25
57390544	57415917	14	NAA30
85941146	86022298	9	NAA35
7856685	7885238	17	NAA38
63938959	63957328	11	NAA40
113716460	113746300	3	NAA50
90131515	90192894	11	NAALAD2
65044818	65058549	11	NAALADL1
45080438	45088914	7	NACAD
13118103	13141141	19	NACC1
1751232	1780457	1	NADK
36192592	36242279	5	NADK2
71453109	71524107	11	NADSYN1
66802875	66873256	16	NAE1
163110073	163166921	4	NAF1
42536172	42544449	17	NAGLU
128061233	128068206	9	NAIF1
106248285	106286326	7	NAMPT
119029716	119033732	10	NANOS1
25612935	25624175	20	NANP
98056739	98083075	9	NANS
73212299	73214848	X	NAP1L2
2944431	2992377	11	NAP1L4
23374519	23421519	20	NAPB
10525905	10552761	18	NAPG
82458180	82490537	17	NARF
57600656	57622213	18	NARS
78435961	78574874	11	NARS2
34105602	34147670	11	NAT10
50296402	50299421	3	NAT6
73640832	73642393	2	NAT8
74770547	74776367	17	NAT9
21238870	21253410	17	NATD1
77830905	78213008	12	NAV3
15166909	15561330	2	NBAS
34942287	35673022	13	NBEA
203014879	203226378	2	NBEAL1
89933336	90003228	8	NBN
146064699	146144942	1	NBPF10
148102046	148152322	1	NBPF11
148531385	148679751	1	NBPF14
144421386	144461674	1	NBPF15
149054027	149103561	1	NBPF9
43170481	43211689	17	NBR1
101686543	102124907	8	NCALD
6493356	6531955	12	NCAPD2
134150119	134225454	11	NCAPD3
158631311	158704829	7	NCAPG2
50508216	50523472	22	NCAPH2
97633626	97673748	9	NCBP1
196935402	196942597	3	NCBP2
35557473	35567274	1	NCDN
74773962	74789315	7	NCF1
73220624	73235945	7	NCF1B
75156639	75172044	7	NCF1C
183555563	183590876	1	NCF2
36860988	36878015	22	NCF4
182909115	183038858	2	NCKAP1
54497711	54548238	12	NCKAP1L
49791146	49828750	12	NCKAP5L
231453531	231483641	2	NCL
3185563	3209575	19	NCLN
24491914	24770702	2	NCOA1
47501902	47656877	20	NCOA3
46005088	46030714	10	NCOA4
46060985	46089952	20	NCOA5
34689097	34825649	20	NCOA6
125781161	125932030	6	NCOA7
16029157	16218185	17	NCOR1
130172578	130237304	9	NCS1
2571511	2616635	18	NDC80
8413131	8490411	17	NDEL1
79481124	79556075	13	NDFIP2
23685400	23687330	15	NDN
137205670	137217009	9	NDOR1
150485818	150558211	5	NDST1
73801911	73811798	10	NDST2
119871487	119876662	X	NDUFA1
5891276	5904006	19	NDUFA11
94897055	95003770	12	NDUFA12
19515736	19529054	19	NDUFA13
140638740	140647785	5	NDUFA2
54102728	54109257	19	NDUFA3
10931951	10940256	7	NDUFA4
42085525	42090955	22	NDUFA6
122144058	122159819	9	NDUFA8
4649095	4694317	12	NDUFA9
23581002	23596356	16	NDUFAB1
41387349	41402519	15	NDUFAF1
60945129	61153037	5	NDUFAF2
49020459	49023495	3	NDUFAF3
13784950	13821582	20	NDUFAF5
94895767	95116455	8	NDUFAF6
92116122	92121917	14	NDUFB1
1959508	1961975	16	NDUFB10
47142216	47145504	X	NDUFB11
140690777	140722790	7	NDUFB2
201071433	201085750	2	NDUFB3
120596309	120602500	3	NDUFB4
179604690	179627647	3	NDUFB5
32552999	32573184	9	NDUFB6
100523740	100530000	10	NDUFB8
124539103	124568510	8	NDUFB9
139266880	139302551	4	NDUFC1
78068304	78080219	11	NDUFC2
206114817	206159603	2	NDUFS1
161197104	161214395	1	NDUFS2
47565336	47584562	11	NDUFS3
53560633	53683340	5	NDUFS4
1801400	1816605	5	NDUFS6
1383527	1395589	19	NDUFS7
68030617	68036644	11	NDUFS8
67606852	67612535	11	NDUFV1
9102630	9134345	18	NDUFV2
42879644	42913304	21	NDUFV3
8082211	8097771	12	NECAP1
55826922	55993746	15	NEDD4
24216852	24232454	14	NEDD8
11183298	11382348	6	NEDD9
29480230	29491390	22	NEFH
71395940	72282734	1	NEGR1
11769639	11787346	8	NEIL2
169393275	169612629	4	NEK1
27110085	27369460	3	NEK10
211658657	211675630	1	NEK2
198156963	198322420	1	NEK7
28725897	28743455	17	NEK8
75079353	75127344	14	NEK9
1982714	2041903	4	NELFA
137255173	137273547	9	NELFB
58981208	58995133	20	NELFCD
31952087	31959110	6	NELFE
49782083	49853203	14	NEMF
212432887	212446379	1	NENF
73051710	73305206	15	NEO1
156668763	156677397	1	NES
74988134	75018893	11	NEU3
172641266	172691540	5	NEURL1B
96497643	96508109	2	NEURL3
7315628	7329393	17	NEURL4
77888513	77943895	1	NEXN
31094927	31382116	17	NF1
29603556	29698598	22	NF2
69565094	69704666	16	NFAT5
51386957	51562831	20	NFATC2
68084751	68229259	16	NFATC3
48048329	48061487	17	NFE2L1
60865259	61462793	1	NFIA
14081843	14398983	9	NFIB
3359563	3469217	19	NFIC
91409045	91423862	9	NFIL3
102394110	102402529	10	NFKB2
35401511	35404749	14	NFKBIA
35887653	35902303	19	NFKBID
31546870	31558829	6	NFKBIL1
101827991	101861022	3	NFKBIZ
129863636	129895590	11	NFRKB
69395750	69437628	2	NFU1
33290511	33371157	9	NFX1
40691570	40771603	1	NFYC
23469688	23509862	14	NGDN
232878686	233013272	2	NGEF
103376340	103378077	X	NGFRAP1
25718944	25790039	3	NGLY1
90265659	90278141	15	NGRN
113854661	113917194	10	NHLRC2
39038306	39050109	13	NHLRC3
178149460	178153967	5	NHP2
52004803	52069228	14	NID2
200889327	200903930	2	NIF3L1
121726945	121736923	2	NIFK
564296	663779	12	NINJ2
69339430	69343111	16	NIP7
22773063	22829791	15	NIPA1
22838641	22868384	15	NIPA2
36876759	37066413	5	NIPBL
104764157	104777457	9	NIPSNAP3B
100334701	100361635	3	NIT2
28259320	28260958	6	NKAPL
51371606	51372715	19	NKG7
23891660	23946591	3	NKIRAS1
42011382	42025644	17	NKIRAS2
35128753	35142315	17	NLE1
5840637	6228863	X	NLGN4X
28041737	28196381	17	NLK
32224453	32265854	2	NLRC4
56989485	57083531	16	NLRC5
54953130	55001142	19	NLRP2
247416156	247449108	1	NLRP3
278365	285359	11	NLRP6
54923509	54966312	19	NLRP7
119166568	119184016	11	NLRX1
84655129	84658563	15	NMB
161104696	161253532	3	NMD3
51153536	51162428	17	NME1
51153590	51171744	17	NME1-NME2
51165435	51171747	17	NME2
396725	410367	16	NME4
151270465	151290057	2	NMI
9943428	9985501	1	NMNAT1
4461680	4495763	16	NMRAL1
75060573	75088217	9	NMRK1
45051610	45109016	17	NMT1
231523160	231530495	2	NMUR1
114257787	114313285	11	NNMT
43602692	43707405	5	NNT
56963370	56978823	4	NOA1
69741867	69754940	16	NOB1
944204	959309	1	NOC2L
94333226	94362959	10	NOC3L
132144448	132152473	12	NOC4L
30424527	30478784	7	NOD1
50693603	50733077	16	NOD2
10570766	10689987	2	NOL10
67717833	67744531	17	NOL11
32443059	32585074	20	NOL4L
33461441	33473930	9	NOL6
13615327	13632739	6	NOL7
92297358	92325636	9	NOL8
102152176	102163871	10	NOLC1
156949723	156973182	7	NOM1
14833681	14896160	16	NOMO1
18417325	18562211	16	NOMO2
16232495	16294814	16	NOMO3
34341713	34343177	15	NOP10
2937933	2963385	4	NOP14
2934899	2961738	4	NOP14-AS1
6556863	6568691	12	NOP2
2652145	2658393	20	NOP56
202265716	202303666	2	NOP58
24299862	24309124	14	NOP9
162069774	162370475	1	NOS1AP
150990995	151014588	7	NOS3
49555711	49590262	19	NOSIP
119911553	120069626	1	NOTCH2
146146203	146229026	1	NOTCH2NL
119416306	119424353	8	NOV
26443093	26597754	14	NOVA1
45933734	45973546	19	NOVA2
89324356	89498187	11	NOX4
68930525	69062743	15	NOX5
108157215	108222642	11	NPAT
23506184	23586898	18	NPC1
74476192	74494177	14	NPC2
137039470	137046203	9	NPDC1
47522942	47623276	17	NPEPPS
14750813	14952060	16	NPIPA1
21834569	21880827	16	NPIPB4
22479121	22536521	16	NPIPB5
182789293	182830384	1	NPL
81556887	81648465	17	NPLOC4
171387116	171411137	5	NPM1
153678637	153693992	1	NPR1
35792154	35809732	9	NPR2
50347330	50351091	3	NPRL2
84271	138860	16	NPRL3
163343939	163351934	4	NPY5R
69706996	69726951	16	NQO1
40092787	40100725	17	NR1D1
23945260	23980618	3	NR1D2
50329653	50382982	19	NR1H2
161229666	161238302	1	NR1I3
14947584	15053600	3	NR2C2
19201416	19203424	19	NR2C2AP
93583337	93594615	5	NR2F1
93409359	93585648	5	NR2F1-AS1
96325938	96340263	15	NR2F2
143277931	143435512	5	NR3C1
52022832	52059507	12	NR4A1
156324432	156342348	2	NR4A2
137300482	137302251	9	NRARP
114704469	114716894	1	NRAS
63133247	63155031	10	NRBF2
90267856	90332137	14	NRDE2
129611714	129757082	7	NRF1
139846779	140043299	5	NRG2
30688047	30691420	6	NRM
33177492	33336262	10	NRP1
196639686	196662004	3	NRROS
24126122	24154900	6	NRSN1
346782	359660	20	NRSN2
5823802	5828324	19	NRTN
78170373	79868290	14	NRXN3
177133025	177300215	5	NSD1
152830967	152869729	X	NSDHL
46590669	46757464	17	NSF
1442162	1473842	20	NSFL1C
212726153	212791782	1	NSL1
58583504	58659844	8	NSMAF
125091679	125367120	8	NSMCE2
121957088	121975217	10	NSMCE4A
30115521	30186475	17	NSRP1
6599239	6633291	5	NSUN2
75410322	75416787	7	NSUN5P1
72947581	72954790	7	NSUN5P2
18545561	18659285	10	NSUN6
75130225	75131795	17	NT5C
18562872	18589572	2	NT5C1B
116100849	116249497	6	NT5DC1
85449584	85495791	6	NT5E
5432112	5521536	12	NTF3
49055793	49065076	19	NTF4
2039815	2047866	16	NTHL1
131370478	132336822	11	NTM
129608884	129636131	9	NTMT1
84668551	85027070	9	NTRK2
151341699	151378449	7	NUB1
1782901	1789191	16	NUBP2
31489956	31861224	14	NUBPL
205712819	205750276	1	NUCKS1
26900238	26946862	1	NUDC
109240919	109334385	8	NUDCD1
44379121	44490880	7	NUDCD3
2242222	2251146	7	NUDT1
51332231	51337525	X	NUDT10
51490011	51496596	X	NUDT11
48037567	48047222	13	NUDT15
32691961	32713796	19	NUDT19
56429133	56452199	16	NUDT21
64225941	64230686	11	NUDT22
34279679	34392674	6	NUDT3
93377883	93408146	12	NUDT4
12165325	12196144	10	NUDT5
122888697	122922968	4	NUDT6
163266576	163355764	1	NUF2
44939249	44989483	13	NUFIP1
29255836	29294118	17	NUFIP2
28021964	28083871	8	NUGGC
72002864	72080693	11	NUMA1
73275107	73463642	14	NUMB
68686734	68745809	12	NUP107
229440260	229508341	1	NUP133
17615035	17706834	6	NUP153
37288137	37371181	5	NUP155
47778087	47848555	11	NUP160
128947699	129007096	9	NUP188
135557919	135648757	7	NUP205
131125561	131234670	9	NUP214
102073103	102120124	12	NUP37
149724315	149749665	6	NUP43
45163841	45188015	22	NUP50
76114659	76148515	4	NUP54
49906825	49929763	19	NUP62
75205659	75235758	17	NUP85
5360963	5420160	17	NUP88
56730105	56850286	16	NUP93
3671083	3797792	11	NUP98
23181827	23201011	7	NUPL2
28532708	28539174	16	NUPR1
117675502	117710640	6	NUS1
41332694	41381050	15	NUSAP1
67846732	67872567	16	NUTF2
224227334	224330387	1	NVL
88535101	88584274	9	NXNL2
101779202	101828229	3	NXPE3
57216795	57226449	12	NXPH4
23350736	23354777	20	NXT1
109535781	109544690	X	NXT2
120210767	120230332	11	OAF
41033627	41097787	6	OARD1
112906777	112933222	12	OAS1
112938352	112973249	12	OAS3
121019111	121039242	12	OASL
124397303	124418976	10	OAT
103882542	103918205	10	OBFC1
135546139	135549969	9	OBP2A
133205277	133209250	9	OBP2B
228208130	228378876	1	OBSCN
219550729	219571859	2	OBSL1
129539849	129592561	X	OCRL
128455186	128501292	9	ODF2
75723977	75727688	15	ODF3L1
13734745	13769353	X	OFD1
44606572	44709066	7	OGDH
56451490	56479100	16	OGFOD1
122974580	122980043	12	OGFOD2
82389223	82418637	17	OGFOD3
62804835	62814000	20	OGFR
9749944	9788219	3	OGG1
92383967	92404696	9	OGN
71533083	71575897	X	OGT
41309268	41332621	15	OIP5
174072447	174248698	2	OLA1
7485388	7511377	11	OLFML1
161983192	162023854	1	OLFML2B
113979391	114035572	1	OLFML3
92414245	92424461	9	OMD
68042344	68433913	X	OPHN1
144051266	144063832	8	OPLAH
241590102	241677376	1	OPN3
131700469	131701401	6	OR2A4
144258607	144259722	7	OR2A7
247895587	247896531	1	OR2W3
30949066	30956461	16	ORAI3
69653076	69675416	11	ORAOV1
200908973	200963680	2	ORC2
87590067	87667453	6	ORC3
147930397	148021604	2	ORC4
104126341	104208047	7	ORC5
39921041	39927601	17	ORMDL3
59574398	59616144	11	OSBP
31657890	32077580	3	OSBPL10
125528858	125595090	3	OSBPL11
24162044	24397880	18	OSBPL1A
62231922	62296213	20	OSBPL2
51577179	51798427	1	OSBPL9
36415827	36450451	1	OSCP1
20446411	20455105	14	OSGEP
89901859	89927888	8	OSGIN2
30262829	30266840	22	OSM
19351485	19358653	2	OSR1
98944403	98952104	8	OSR2
27070472	27071773	2	OST4
75088543	75147265	9	OSTF1
108041409	108165854	6	OSTM1
63985853	64001811	11	OTUB1
23439458	23442390	10	OTUD1
145110838	145180161	4	OTUD4
149937812	150010676	1	OTUD7B
14664664	14699711	5	OTULIN
2041936	2043430	17	OVCA2
17956979	18059188	20	OVOL2
22766522	22773041	14	OXA1L
81665036	81666635	17	OXLD1
16265160	16350299	3	OXNAD1
25782917	25794534	3	OXSM
38165089	38255488	3	OXSR1
8750408	8769628	3	OXTR
3672199	3696404	17	P2RX5
152834693	152841439	3	P2RY1
10111538	10115372	19	P2RY11
151337380	151384812	3	P2RY12
6828410	6839851	12	P3H3
41801947	41812604	17	P3H4
73007217	73096974	10	P4HA1
48989886	49007154	3	P4HTM
56104319	56113907	12	PA2G4
73876699	73931124	11	PAAF1
100685816	100722809	8	PABPC1
25095868	25099254	13	PABPC3
39560816	39576790	1	PABPC4
23321289	23326185	14	PABPN1
66070363	66244747	11	PACS1
105300563	105398147	14	PACS2
39385852	39391195	19	PAF1
2593210	2685615	17	PAFAH1B1
117144267	117176894	11	PAFAH1B2
42297033	42303546	19	PAFAH1B3
56435741	56464579	4	PAICS
43526267	43557758	5	PAIP1
139341587	139369720	5	PAIP2
71182739	71227083	2	PAIP2B
77321707	77474635	11	PAK1
10694695	10709782	6	PAK1IP1
196739857	196832647	3	PAK2
9537389	9839041	20	PAK7
23603160	23641310	16	PALB2
70478821	70568449	10	PALD1
168497066	168928457	4	PALLD
109780309	110172512	9	PALM2-AKAP2
102753981	103031105	5	PAM
35431823	35530300	11	PAMR1
28138506	28295335	13	PAN3
3888839	3929882	20	PANK2
168548495	168579600	5	PANK3
2508533	2526628	1	PANK4
94128928	94181972	11	PANX1
50152918	50235310	16	PAPD5
6713007	6757048	5	PAPD7
73237497	73274640	14	PAPLN
96501433	96567111	14	PAPOLA
60756230	60802085	2	PAPOLG
78887127	78939438	4	PAQR3
2969245	2973489	16	PAQR4
34109560	34815325	10	PARD3
80157232	80247546	18	PARD6G
49818279	49970203	10	PARG
7954291	7985505	1	PARK7
183829385	183884933	3	PARL
226360691	226408079	1	PARP1
140023744	140063721	7	PARP12
122680618	122730840	3	PARP14
65234460	65300618	15	PARP16
20343582	20357905	14	PARP2
122527924	122564577	3	PARP9
54756898	54764514	1	PARS2
12377185	12530801	11	PARVA
43999211	44172949	22	PARVB
241106099	241150264	2	PASK
59636716	59668980	11	PATL1
31325804	31346232	22	PATZ1
113215997	113278950	2	PAX8
113211522	113276581	2	PAX8-AS1
32733899	32771858	21	PAXBP1
154943687	155003084	7	PAXIP1
155003448	155005703	7	PAXIP1-AS1
76172936	76178204	X	PBDC1
27809620	27838095	8	PBK
32184741	32190186	6	PBX2
154944076	154956123	1	PBXIP1
70882280	70888784	10	PCBD1
134904906	135007959	5	PCBD2
53452102	53481162	12	PCBP2
100089015	100530435	13	PCCA
136250306	136337896	3	PCCB
141853111	141879246	5	PCDH1
91779261	92623230	X	PCDH11X
5000226	5742224	Y	PCDH11Y
141943585	141969741	5	PCDH12
57631810	57729311	13	PCDH17
137518918	137532494	4	PCDH18
140786136	141012347	5	PCDHA1
140855883	141012344	5	PCDHA10
140868183	141012344	5	PCDHA11
140875302	141012344	5	PCDHA12
140882208	141012344	5	PCDHA13
140794852	141012344	5	PCDHA2
140801028	141012344	5	PCDHA3
140806929	141012344	5	PCDHA4
140821604	141012344	5	PCDHA5
140827958	141012344	5	PCDHA6
140834248	141012344	5	PCDHA7
140841187	141012344	5	PCDHA8
140926369	141012344	5	PCDHAC1
140966235	141012344	5	PCDHAC2
141182560	141195642	5	PCDHB10
141199582	141203779	5	PCDHB11
141208697	141212571	5	PCDHB12
141213919	141218979	5	PCDHB13
141222932	141227759	5	PCDHB14
141181399	141186399	5	PCDHB16
141177790	141180529	5	PCDHB8
141187127	141191541	5	PCDHB9
141330571	141512981	5	PCDHGA1
141412987	141512979	5	PCDHGA10
141421047	141512979	5	PCDHGA11
141430589	141512979	5	PCDHGA12
141338760	141512979	5	PCDHGA2
141343829	141512979	5	PCDHGA3
141355025	141512979	5	PCDHGA4
141364232	141512979	5	PCDHGA5
141373914	141512979	5	PCDHGA6
141382739	141512979	5	PCDHGA7
141390157	141512979	5	PCDHGA8
141402932	141512979	5	PCDHGA9
141350102	141512979	5	PCDHGB1
141360042	141512979	5	PCDHGB2
141370264	141512979	5	PCDHGB3
141387698	141512979	5	PCDHGB4
141397987	141512979	5	PCDHGB5
141408021	141512979	5	PCDHGB6
141417645	141512979	5	PCDHGB7
141475947	141512979	5	PCDHGC3
141484997	141512979	5	PCDHGC4
141489121	141512979	5	PCDHGC5
2835314	2841190	20	PCED1A
47079603	47236662	12	PCED1B
83156988	83187451	11	PCF11
38733897	38749817	17	PCGF2
705748	770640	4	PCGF3
91163012	91284331	10	PCGF5
113177539	113208715	13	PCID2
24094053	24110598	14	PCK2
82754013	83162930	7	PCLO
17922840	18029944	8	PCM1
149749443	149811420	6	PCMT1
51817575	51899186	8	PCMTD1
5114953	5126626	20	PCNA
101574095	101594437	3	PCNP
46324122	46445769	21	PCNT
65615773	65637439	11	PCNXL3
60091911	60169133	14	PCNXL4
100602177	100608175	7	PCOLCE
117204337	117232525	11	PCSK7
196214222	196287957	3	PCYT1A
81900965	81911464	17	PCYT2
99392048	99408829	7	PDAP1
167683298	167734939	3	PDCD10
103396648	103446292	10	PDCD11
5510570	5571254	9	PDCD1LG2
170575295	170584692	6	PDCD2
34404384	34426168	19	PDCD2L
110871795	110900006	10	PDCD4
271621	353856	5	PDCD6
33798352	33869707	3	PDCD6IP
65117379	65133836	15	PDCD7
122798389	122828631	9	PDCL
767220	777488	11	PDDC1
57556276	57566844	3	PDE12
54549350	54579239	12	PDE1B
14643723	14872044	11	PDE3B
10416773	10469631	19	PDE4A
148808181	149048286	1	PDE4DIP
135851696	136195574	6	PDE7B
69328621	69330595	16	PDF
497258	520296	7	PDGFA
39223359	39244751	22	PDGFB
54229097	54298247	4	PDGFRA
150113837	150155872	5	PDGFRB
17576433	17644071	8	PDGFRL
19343893	19361705	X	PDHA1
58427630	58433857	3	PDHB
34915829	35020591	11	PDHX
123067062	123225227	3	PDIA5
10783391	10837977	2	PDIA6
26111165	26125543	1	PDIK1L
172555373	172608669	2	PDK1
50094737	50112152	17	PDK2
24465221	24539837	X	PDK3
95237572	95291024	10	PDLIM1
22578279	22598025	8	PDLIM2
177483394	177497606	5	PDLIM7
66878589	66895754	16	PDP2
2537964	2603188	16	PDPK1
31944342	31952092	20	PDRG1
39822863	39977956	4	PDS5A
32586427	32778019	13	PDS5B
26697659	26746798	10	PDSS1
107152557	107459564	6	PDSS2
70010751	70065945	16	PDXDC2P
43719094	43762307	21	PDXK
37658727	37666934	22	PDXP
70286595	70290514	X	PDZD11
31639410	32110931	5	PDZD2
101007683	101031157	10	PDZD7
47183593	47191044	1	PDZK1IP1
41188448	41574590	12	PDZRN4
77100656	77420144	15	PEAK1
64319415	64413776	17	PECAM1
215996329	216082955	2	PECR
31629862	31644896	1	PEF1
94656325	94669695	7	PEG10
56810083	56840728	19	PEG3
64092652	64144454	2	PELI1
56117814	56301526	14	PELI2
66466327	66477337	11	PELI3
4669774	4704337	17	PELP1
17505563	17591708	17	PEMT
8140472	8156506	17	PER1
238244038	238290102	2	PER2
7784320	7845177	1	PER3
975204	982093	1	PERM1
138088505	138107511	6	PERP
30576625	30607083	22	PES1
2403964	2413797	1	PEX10
145911350	145918837	1	PEX11B
35574795	35578863	17	PEX12
61017225	61051990	2	PEX13
45909669	45918812	11	PEX16
160276812	160286348	1	PEX19
18077920	18131138	22	PEX26
143450807	143490010	6	PEX3
7188685	7218574	12	PEX5
8247618	8270491	17	PFAS
161100556	161118111	1	PFDN2
53295291	53299450	12	PFDN5
33289302	33298401	6	PFDN6
207034366	207081024	1	PFKFB2
48517684	48562015	3	PFKFB4
44300051	44327376	21	PFKL
48105139	48146404	12	PFKM
3066333	3137712	10	PFKP
4945652	4949061	17	PFN1
97426160	97433441	10	PGAM1
44062727	44065587	7	PGAM2
77968874	77969638	X	PGAM4
132710819	132722734	12	PGAM5
3797724	3826371	11	PGAP2
39671122	39696797	17	PGAP3
49515105	49524227	10	PGBD3
34102073	34108684	15	PGBD4
10398592	10420144	1	PGD
74941834	74955784	14	PGF
115204012	115262872	5	PGGT1B
17511629	17521288	19	PGLS
63593276	63660245	1	PGM1
37826633	37862937	4	PGM2
83161150	83193936	6	PGM3
41006999	41074617	9	PGM5P2
78378640	78425114	17	PGS1
143536845	143831185	6	PHACTR2
49404049	49414905	17	PHB
6965327	6970825	12	PHB2
8913896	8941467	12	PHC1
170086732	170181749	3	PHC3
33410399	33416453	6	PHF1
169703905	169725566	6	PHF10
49495610	49528987	13	PHF11
28905250	28951771	17	PHF12
10973872	11169630	7	PHF14
120855652	120894896	9	PHF19
93576407	93679587	9	PHF2
35771974	35950381	20	PHF20
45929323	46121178	11	PHF21A
7235028	7239722	17	PHF23
63635820	63779336	6	PHF3
41459717	41468725	22	PHF5A
53936676	54048958	X	PHF8
78935867	79078236	6	PHIP
72578814	72714319	X	PHKA1
18892300	18984598	X	PHKA2
47461123	47701523	16	PHKB
76025447	76033932	12	PHLDA1
118606440	118658038	11	PHLDB1
169694454	169701708	2	PHOSPHO2
136848724	136851027	9	PHPT1
576486	612222	11	PHRF1
77798792	77957503	7	PHTF2
13277796	13302412	10	PHYH
128920895	128942041	9	PHYHD1
59176590	59247774	10	PHYHIPL
36948263	36964837	6	PI16
45174876	45176544	20	PI3
97640686	97676434	10	PI4K2A
20707691	20859417	22	PI4KA
18533646	18577968	22	PI4KAP1
151291797	151327715	1	PI4KB
46803224	46920160	18	PIAS2
72782059	73016461	13	PIBF1
85957684	86069882	11	PICALM
228850526	229271285	2	PID1
799179	809753	11	PIDD1
88715343	88785211	16	PIEZO1
15319451	15335580	X	PIGA
46580937	46617119	2	PIGF
499210	540196	4	PIGG
67581955	67600287	14	PIGH
62043567	62187118	18	PIGN
35088688	35096601	9	PIGO
28553383	28571872	17	PIGS
45416077	45426244	20	PIGT
34560542	34698790	20	PIGU
26787472	26798398	1	PIGV
36535020	36539310	17	PIGW
196639775	196736007	3	PIGX
112064010	112074274	11	PIH1D2
17077730	17207983	11	PIK3C2A
41955206	42087830	18	PIK3C3
179148114	179240093	3	PIK3CA
9651732	9729114	1	PIK3CD
68215720	68301821	5	PIK3R1
18153118	18170540	19	PIK3R2
130678935	130746829	3	PIK3R4
37170203	37175426	6	PIM1
48913182	48919024	X	PIM2
49960513	49964080	22	PIM3
9835257	9849682	19	PIN1
72181353	72302926	X	PIN4
10764963	10839884	8	PINX1
38765689	38800126	17	PIP4K2B
